"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:47:32"


30
Time [s],Temperature [degC]
-19.4393,732.327,
-2.56392,736.378,
0.302290,736.418,
19.3664,786.243,
42.9003,823.424,
64.8486,852.959,
77.2598,863.299,
86.8105,867.246,
101.146,862.366,
107.841,854.836,
122.513,829.630,
133.040,809.449,
165.579,747.646,
187.281,695.856,
211.872,618.693,
232.649,532.582,
245.429,485.748,
257.891,438.910,
257.961,360.131,
257.685,311.842,
258.088,216.549,
259.411,161.929,
261.660,139.089,
266.128,128.987,
278.233,125.346,
293.839,124.296,
322.501,124.700,
351.799,126.385,
384.284,125.573,
400.208,124.527,
