"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:37:57"


37
Time [s],Temperature [degC]
-19.2968,763.324,
-6.52544,763.307,
-0.778312,763.300,
31.8136,841.263,
48.4270,874.490,
60.5643,888.541,
80.3653,905.140,
97.6074,907.675,
119.318,905.090,
137.194,893.558,
165.284,869.226,
185.071,842.346,
208.043,791.166,
222.717,750.226,
238.666,701.613,
259.716,631.253,
274.385,574.969,
290.968,513.566,
303.724,464.957,
309.465,444.489,
308.814,406.127,
309.416,292.315,
308.751,207.917,
311.926,151.647,
319.583,135.013,
331.715,132.440,
392.379,129.805,
428.777,129.759,
472.838,129.702,
534.141,128.345,
590.335,128.273,
636.950,128.214,
680.373,128.158,
714.856,129.393,
769.134,128.045,
817.666,129.261,
852.787,127.938,
