"Pressure Drop [bar](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:29:03"


17
Time [s],Pressure Drop [bar]
1.40733,0.101742,
3.86266,0.115565,
10.7968,0.127873,
33.0025,0.146900,
57.7794,0.163381,
102.307,0.185068,
158.994,0.202206,
225.226,0.223479,
293.413,0.239135,
380.756,0.253855,
457.922,0.263413,
524.905,0.268833,
589.339,0.273729,
653.790,0.276068,
713.117,0.280942,
776.905,0.286859,
795.408,0.287966,
