"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:39:20"


27
Time [s],Temperature [degC]
-18.0344,717.286,
-2.07013,717.266,
20.2908,751.764,
48.3997,788.812,
67.5584,793.903,
77.7747,791.332,
95.6469,767.013,
116.700,705.605,
138.389,636.524,
152.419,576.403,
168.361,506.050,
178.563,458.723,
184.940,431.861,
184.903,315.492,
184.872,219.584,
186.129,155.644,
196.976,127.497,
208.469,123.646,
257.636,117.190,
295.949,112.026,
336.817,111.973,
379.602,113.197,
495.821,110.491,
612.679,111.621,
732.729,108.910,
845.119,112.602,
855.336,113.868,
