"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:40:53"


26
Time [s],Temperature [degC]
-15.4993,657.181,
2.37947,653.321,
8.12781,657.150,
15.7898,654.583,
33.6600,623.870,
47.0549,576.538,
61.7228,516.417,
77.6679,456.294,
80.8505,424.321,
81.4585,328.412,
82.0653,228.667,
82.6830,163.449,
87.1440,135.311,
99.9077,110.998,
117.784,100.744,
161.206,98.1314,
219.314,92.9420,
304.881,87.7175,
370.015,87.6342,
418.546,87.5722,
562.226,91.2247,
645.239,89.8398,
707.181,91.0394,
769.760,89.6806,
824.677,88.3316,
852.135,88.2965,
