"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:53:09"


26
Time [s],Temperature [degC]
-18.7776,784.433,
-6.63144,781.982,
-0.238061,779.482,
24.9750,846.108,
49.5557,899.958,
78.6141,947.460,
111.518,975.837,
131.327,987.500,
156.575,988.992,
167.768,976.316,
190.151,956.072,
204.863,935.763,
232.701,875.974,
257.020,821.264,
264.381,800.892,
278.140,770.358,
289.667,730.865,
306.956,674.818,
316.561,641.694,
338.335,565.250,
353.386,509.184,
359.153,482.413,
361.881,161.873,
365.086,145.297,
375.960,130.064,
399.613,126.434,
