"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:27:46"


30
Time [s],Temperature [degC]
-20.0536,392.481,
-11.7539,387.355,
-4.72921,388.625,
-0.896158,393.735,
4.85464,405.237,
17.6289,414.172,
44.4533,428.204,
76.3879,447.345,
97.4627,453.711,
108.957,453.697,
126.201,462.626,
138.974,466.446,
165.154,462.576,
190.695,456.150,
230.281,442.033,
279.447,427.903,
360.543,420.127,
431.424,421.315,
468.463,427.662,
518.272,427.598,
568.717,423.697,
622.353,409.562,
665.131,391.605,
691.310,382.620,
716.849,372.357,
765.375,354.392,
790.275,340.294,
817.728,324.913,
844.542,304.419,
854.757,298.012,
