"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 09:51:50"


31
Time [s],Temperature [degC]
-19.5443,770.768,
-6.75368,770.916,
-0.358383,770.990,
18.7885,824.784,
31.5549,858.096,
54.2256,903.002,
85.8545,941.634,
100.236,953.281,
130.927,961.290,
164.182,962.951,
200.006,949.336,
240.650,902.613,
270.101,858.311,
295.718,810.138,
327.106,740.348,
355.940,664.151,
378.372,598.085,
401.758,539.682,
416.183,491.379,
419.069,479.933,
420.084,403.413,
419.858,274.583,
420.234,196.781,
420.906,153.421,
423.792,141.975,
427.313,136.913,
431.794,130.588,
442.031,125.604,
461.854,128.385,
482.001,126.068,
498.951,123.713,
