"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:49:37"


27
Time [s],Temperature [degC]
-20.4071,746.291,
-4.16527,746.520,
-0.343660,746.574,
5.06352,754.274,
18.4076,790.041,
36.2113,824.600,
53.7068,847.719,
68.0231,864.439,
80.4389,869.697,
98.9134,866.146,
122.179,846.144,
157.249,803.437,
188.181,758.130,
209.890,698.716,
229.375,632.917,
251.104,550.632,
271.872,474.686,
282.414,437.986,
283.922,173.711,
286.498,141.981,
289.374,131.857,
293.835,128.108,
316.130,125.881,
335.240,124.880,
363.266,124.005,
391.609,124.405,
400.525,125.802,
