"Pressure Drop [bar](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:26:48"


18
Time [s],Pressure Drop [bar]
-18.9053,0.0857929,
-4.86680,0.0863682,
13.5418,0.100775,
74.1565,0.104119,
136.051,0.106958,
180.763,0.102558,
256.073,0.103923,
305.862,0.103638,
355.017,0.102839,
420.125,0.102623,
479.455,0.106985,
531.127,0.111312,
583.447,0.114108,
636.406,0.116906,
681.068,0.119667,
726.364,0.122942,
776.755,0.127775,
797.183,0.127356,
