"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:32:08"


32
Time [s],Temperature [degC]
-18.6897,664.857,
-5.91949,661.005,
-0.809711,664.835,
7.49699,681.448,
26.6622,706.999,
51.5730,727.427,
82.8673,741.454,
108.414,752.930,
127.570,751.627,
168.440,754.132,
215.055,754.073,
270.608,746.329,
322.969,741.147,
373.415,737.246,
418.755,742.303,
482.612,742.221,
559.239,738.287,
598.828,729.285,
647.983,684.465,
708.627,621.728,
748.842,573.083,
764.162,555.161,
788.413,510.373,
816.489,442.562,
823.506,420.814,
824.763,356.874,
824.735,269.917,
824.704,172.730,
827.252,153.546,
832.354,131.800,
841.292,127.952,
854.063,125.378,
