"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:08:51"


28
Time [s],Temperature [degC]
-19.4540,693.030,
16.0279,693.409,
47.9945,692.469,
65.5713,699.059,
112.552,713.645,
144.511,722.949,
193.738,724.754,
231.145,713.630,
265.678,698.633,
307.574,667.070,
347.877,629.088,
378.906,594.848,
420.501,536.392,
439.378,510.985,
466.260,465.177,
472.660,453.722,
474.605,414.050,
474.969,347.472,
476.607,287.310,
479.204,227.158,
483.385,188.791,
488.518,161.957,
495.560,146.667,
507.397,132.709,
518.907,128.990,
529.776,127.826,
539.366,127.928,
547.998,126.740,
