"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:35:34"


38
Time [s],Temperature [degC]
-19.2919,778.669,
-7.79809,777.375,
0.503312,777.365,
25.4320,854.059,
36.9360,884.735,
52.9121,921.799,
75.9132,961.411,
108.488,985.667,
123.179,997.157,
158.940,1002.23,
190.227,991.956,
212.572,975.303,
256.617,924.096,
289.169,878.019,
328.741,816.587,
368.310,748.761,
400.855,678.387,
435.313,600.338,
458.287,554.273,
472.322,512.056,
478.703,497.981,
477.410,448.111,
479.305,382.891,
478.646,318.953,
477.987,256.294,
477.975,216.652,
477.963,179.568,
481.145,147.594,
490.719,132.237,
516.260,125.810,
542.441,125.777,
584.587,127.002,
624.178,126.951,
684.205,129.432,
716.134,130.670,
749.977,128.069,
804.894,127.999,
854.702,127.935,
