"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:10:41"


43
Time [s],Temperature [degC]
-19.1726,750.652,
-10.8615,750.740,
-0.630827,748.289,
2.25801,730.394,
2.61683,671.499,
8.70819,644.675,
16.0637,639.632,
25.9671,648.700,
37.4509,684.674,
55.6569,706.636,
62.3645,714.390,
79.9423,719.699,
89.8482,724.926,
108.047,758.411,
119.863,775.183,
130.105,756.086,
147.054,744.743,
158.238,751.264,
174.219,753.996,
187.023,727.244,
206.866,691.604,
225.746,661.075,
232.156,635.535,
246.230,621.601,
267.348,591.096,
285.282,541.352,
295.525,519.694,
298.754,472.353,
299.157,346.877,
299.211,264.931,
299.255,198.350,
300.254,139.461,
303.459,125.411,
315.290,120.415,
342.780,121.989,
370.273,118.441,
402.875,122.630,
421.738,118.990,
447.630,119.267,
480.555,118.338,
512.841,118.682,
532.659,120.174,
549.920,120.358,
