"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 09:54:56"


32
Time [s],Temperature [degC]
-19.8650,772.040,
-9.31180,770.886,
-0.359313,772.266,
14.3164,818.355,
30.5937,860.636,
51.6638,908.074,
76.2587,945.350,
104.699,971.190,
136.346,985.587,
163.205,987.174,
195.187,979.892,
213.421,969.899,
231.657,957.356,
256.938,930.863,
287.986,889.131,
311.034,854.959,
328.642,825.826,
350.091,792.911,
382.431,733.337,
407.086,687.704,
432.065,636.973,
454.799,595.144,
478.823,538.024,
486.195,513.875,
486.527,497.297,
488.185,415.683,
487.633,295.777,
488.026,195.016,
489.657,151.667,
492.863,140.225,
497.348,128.797,
501.506,127.570,
