"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:50:58"


29
Time [s],Temperature [degC]
-19.4585,753.928,
-1.94050,751.634,
0.288767,751.666,
15.8542,796.358,
43.5102,853.928,
70.8668,889.893,
86.7789,902.824,
98.2415,905.527,
129.454,903.426,
148.250,896.068,
184.261,868.622,
207.540,834.643,
227.965,786.646,
254.132,727.295,
274.251,665.317,
293.100,598.239,
307.797,545.079,
317.701,509.640,
331.754,464.095,
337.509,438.763,
338.558,333.314,
338.653,226.581,
339.341,168.140,
341.589,147.842,
345.424,132.648,
354.348,125.150,
371.226,125.388,
388.742,125.636,
399.251,125.784,
