"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 19:24:16"


33
Time [s],Temperature [degC]
-19.7836,768.360,
-7.63710,766.007,
-1.24557,766.110,
6.40736,782.816,
14.3708,808.456,
27.7644,836.735,
40.1993,864.999,
54.8738,890.748,
68.6013,905.002,
89.6751,923.201,
125.132,939.083,
155.808,943.408,
182.980,936.196,
206.647,918.722,
223.283,901.135,
238.329,875.869,
261.377,837.977,
288.921,779.750,
307.829,727.760,
325.455,679.576,
344.370,621.208,
366.169,555.235,
379.958,508.264,
389.260,475.251,
390.874,459.971,
390.967,368.134,
391.072,264.818,
391.145,193.389,
391.810,167.889,
393.428,148.783,
400.158,129.759,
420.297,124.984,
497.316,124.958,
