"Pressure Drop [bar](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:27:52"


15
Time [s],Pressure Drop [bar]
-1.71525,0.0920093,
3.31854,0.102263,
12.1820,0.112533,
43.9438,0.134162,
98.6473,0.161010,
168.698,0.183835,
227.304,0.200470,
278.936,0.210424,
331.271,0.211173,
413.605,0.212059,
477.433,0.212349,
548.289,0.211649,
667.016,0.211165,
740.428,0.209965,
795.966,0.209194,
